variable,overall,group0,group1,group0_label,group1_label,p_value
年龄，岁,64.0 (57.0-70.0),63.0 (55.0-69.0),65.0 (57.0-70.0),低风险,高风险,0.012
男性,417 (47.2%),156 (36.1%),261 (57.9%),低风险,高风险,<0.001
BMI，kg/m²,23.7 (20.9-27.1),23.7 (21.3-27.1),23.7 (20.6-27.1),低风险,高风险,0.250
用药数量，种,5.0 (4.0-7.0),5.0 (3.0-6.0),5.0 (4.0-7.0),低风险,高风险,<0.001
多重用药（≥5种）,533 (60.4%),241 (55.8%),292 (64.7%),低风险,高风险,0.007
RFH-NPT评分,2.0 (0.0-6.0),0.0 (0.0-1.0),5.0 (3.0-6.0),低风险,高风险,<0.001
高营养不良风险（RFH-NPT≥2）,451 (51.1%),0 (0.0%),451 (100.0%),低风险,高风险,<0.001
MELD-Na评分,8.6 (5.1-11.6),8.4 (5.4-10.7),8.9 (5.0-12.7),低风险,高风险,0.032
白蛋白，g/L,30.0 (26.0-33.0),31.0 (28.0-35.0),28.0 (25.0-32.0),低风险,高风险,<0.001
血红蛋白，g/L,89.0 (70.0-108.0),88.0 (70.0-109.5),90.0 (70.0-107.8),低风险,高风险,0.845
住院天数,11.0 (7.0-14.0),10.0 (7.0-14.0),11.0 (8.0-15.0),低风险,高风险,0.013
病毒性病因,162 (18.3%),108 (25.0%),54 (12.0%),低风险,高风险,<0.001
酒精性病因,174 (19.7%),31 (7.2%),143 (31.7%),低风险,高风险,<0.001
腹水,515 (58.3%),186 (43.1%),329 (72.9%),低风险,高风险,<0.001
静脉曲张,660 (74.7%),333 (77.1%),327 (72.5%),低风险,高风险,0.118
肝性脑病,88 (10.0%),28 (6.5%),60 (13.3%),低风险,高风险,<0.001
感染,97 (11.0%),37 (8.6%),60 (13.3%),低风险,高风险,0.024
糖尿病,220 (24.9%),97 (22.5%),123 (27.3%),低风险,高风险,0.098
高血压,253 (28.7%),112 (25.9%),141 (31.3%),低风险,高风险,0.079
冠状动脉性心脏病,86 (9.7%),35 (8.1%),51 (11.3%),低风险,高风险,0.108
